depth_m,vx_north_ms,vy_east_ms
0.4940,0.001567,0.128424
1.5414,-0.000043,0.125713
2.6457,-0.001627,0.122948
3.8195,-0.003196,0.120100
5.0782,-0.004761,0.117142
6.4406,-0.006329,0.114041
7.9296,-0.007906,0.110763
9.5730,-0.009498,0.107270
11.4050,-0.011102,0.103523
13.4671,-0.012714,0.099479
15.8101,-0.014321,0.095095
18.4956,-0.015901,0.090327
21.5988,-0.017423,0.085134
25.2114,-0.018839,0.079483
29.4447,-0.020088,0.073356
34.4342,-0.021090,0.066761
40.3441,-0.021753,0.059739
47.3737,-0.021975,0.052380
55.7643,-0.021663,0.044814
65.8073,-0.020740,0.037212
