depth_m,vx_north_ms,vy_east_ms
0.4940,-0.052381,0.110242
1.5414,-0.053904,0.107452
2.6457,-0.055383,0.104666
3.8195,-0.056829,0.101863
5.0782,-0.058252,0.099019
6.4406,-0.059660,0.096112
7.9296,-0.061060,0.093117
9.5730,-0.062458,0.090010
11.4050,-0.063856,0.086767
13.4671,-0.065252,0.083366
15.8101,-0.066642,0.079790
18.4956,-0.068010,0.076031
21.5988,-0.069334,0.072091
25.2114,-0.070576,0.067989
29.4447,-0.071681,0.063758
34.4342,-0.072552,0.059377
40.3441,-0.072895,0.054021
47.3737,-0.009576,0.014196
55.7643,-0.001364,-0.002208
65.8073,0.003228,-0.006271
77.8539,0.011911,0.003789
92.3261,0.016403,0.011538
109.7293,0.018273,0.015162
130.6660,0.016051,0.015105
155.8507,0.011214,0.018546
186.1256,0.010782,0.019804
222.4752,0.012337,0.019885
266.0403,0.014976,0.020100
318.1274,0.015216,0.021602
380.2130,0.013477,0.022864
453.9377,0.014196,0.021002
541.0889,0.014707,0.017495
643.5668,0.017439,0.012037
763.3331,0.019332,0.002697
902.3393,0.020974,-0.011000
