target_date,measured_u10_ms,measured_beaufort
2024-12-08,19.392,8
2025-09-22,15.739,7
2025-01-05,15.627,7
2025-12-07,15.086,7
2026-01-24,14.966,7
2026-04-22,14.397,7
2026-02-01,14.373,7
2024-11-22,14.214,7
2025-10-04,13.844,6
2026-01-20,13.464,6
2024-09-27,13.149,6
2026-03-13,13.120,6
2026-01-08,12.844,6
2025-01-01,12.636,6
2025-10-20,12.579,6
2025-07-20,12.494,6
2026-03-25,12.447,6
2024-07-21,12.336,6
2025-03-18,12.304,6
2026-02-05,12.281,6
2025-09-02,12.200,6
2025-04-03,12.104,6
2024-06-15,12.104,6
2024-12-12,12.067,6
2025-08-29,11.962,6
2025-01-09,11.911,6
2026-02-09,11.759,6
2025-11-25,11.508,6
2025-11-05,11.483,6
2024-10-25,11.416,6
2025-11-21,11.405,6
2025-12-27,11.315,6
2024-11-14,11.311,6
2024-09-23,11.238,6
2025-02-10,11.203,6
2025-05-05,11.201,6
2025-12-31,11.163,6
2025-04-23,11.075,6
2025-11-01,11.044,6
2025-03-02,11.037,6
2026-03-01,11.013,6
2026-01-28,10.877,6
2026-01-16,10.822,6
2025-11-29,10.812,6
2026-04-14,10.736,5
2025-06-06,10.724,5
2025-01-29,10.723,5
2025-07-04,10.482,5
2025-12-03,10.455,5
2024-09-11,10.407,5
2025-12-15,10.358,5
2024-06-19,10.249,5
2025-04-15,10.202,5
2025-02-06,10.136,5
2024-09-03,10.101,5
2024-10-05,9.980,5
2024-07-09,9.566,5
2025-11-17,9.536,5
2025-04-11,9.498,5
2026-02-17,9.402,5
2026-01-04,9.371,5
2025-10-24,9.348,5
2025-08-05,9.248,5
2026-01-12,9.231,5
2025-01-21,9.173,5
2025-09-10,9.144,5
2025-11-13,9.057,5
2024-12-24,9.056,5
2025-05-25,9.015,5
2026-02-21,9.014,5
2025-10-16,8.999,5
2024-08-14,8.755,5
2025-01-13,8.730,5
2026-03-17,8.716,5
2025-02-18,8.712,5
2025-02-02,8.636,5
2024-11-26,8.601,5
2026-06-09,8.580,5
2026-07-23,8.538,5
2026-05-20,8.473,5
2024-09-19,8.433,5
2024-11-02,8.420,5
2025-02-14,8.414,5
2025-03-06,8.402,5
2025-12-23,8.374,5
2024-12-20,8.314,5
2026-04-10,8.260,5
2025-12-11,8.255,5
2026-03-05,8.241,5
2025-02-26,8.144,5
2025-11-09,8.040,5
2026-03-29,7.972,4
2026-04-02,7.914,4
2025-12-19,7.912,4
2026-04-06,7.888,4
2025-07-24,7.841,4
2024-08-30,7.758,4
2025-09-06,7.637,4
2025-10-12,7.633,4
2025-01-17,7.610,4
2025-09-14,7.605,4
2025-05-09,7.602,4
2026-07-27,7.542,4
2025-03-14,7.539,4
2026-07-19,7.528,4
2025-05-01,7.489,4
2025-07-08,7.404,4
2025-04-19,7.384,4
2026-08-04,7.334,4
2026-06-05,7.253,4
2025-03-22,7.080,4
2025-06-14,7.070,4
2024-08-22,6.858,4
2026-05-08,6.838,4
2024-08-06,6.837,4
2025-08-21,6.749,4
2024-11-30,6.739,4
2026-03-21,6.720,4
2025-02-22,6.695,4
2026-07-31,6.642,4
2025-06-18,6.538,4
2024-06-27,6.510,4
2025-06-26,6.458,4
2024-10-17,6.448,4
2025-05-17,6.359,4
2024-10-13,6.284,4
2026-02-25,6.262,4
2025-06-02,6.253,4
2024-07-29,6.202,4
2024-09-15,6.174,4
2024-07-01,6.167,4
2026-04-26,6.090,4
2026-06-13,6.058,4
2025-07-16,6.056,4
2026-04-18,5.877,4
2025-07-12,5.836,4
2024-09-07,5.806,4
2025-09-30,5.717,4
2025-10-08,5.684,4
2026-05-16,5.663,4
2026-08-08,5.600,4
2026-05-12,5.553,4
2025-10-28,5.513,4
2026-02-13,5.487,3
2025-04-07,5.475,3
2025-01-25,5.458,3
2025-03-30,5.245,3
2025-08-01,5.238,3
2026-05-24,5.231,3
2025-08-17,5.219,3
2024-08-26,5.123,3
2025-09-26,5.085,3
2026-07-03,5.053,3
2026-06-17,5.051,3
2026-06-29,5.048,3
2024-12-16,4.999,3
2025-09-18,4.950,3
2024-06-23,4.940,3
2025-07-28,4.850,3
2026-07-11,4.745,3
2024-07-05,4.727,3
2024-10-29,4.483,3
2026-06-21,4.463,3
2025-06-30,4.427,3
2024-10-21,4.416,3
2024-08-18,4.346,3
2024-08-02,4.326,3
2025-06-22,4.310,3
2024-11-10,4.275,3
2025-05-29,4.257,3
2026-04-30,4.225,3
2024-10-01,4.188,3
2025-04-27,4.163,3
2025-06-10,3.971,3
2024-11-18,3.831,3
2026-06-01,3.784,3
2025-05-21,3.709,3
2024-07-25,3.706,3
2026-03-09,3.685,3
2024-07-13,3.673,3
2024-11-06,3.659,3
2025-05-13,3.485,3
2024-12-04,3.389,2
2026-06-25,3.367,2
2026-05-04,3.305,2
2025-03-10,3.214,2
2025-08-09,3.119,2
2025-08-13,2.782,2
2025-03-26,2.409,2
2026-07-07,2.369,2
2024-12-28,2.257,2
2024-10-09,1.985,2
2025-08-25,1.973,2
2026-07-15,1.954,2
2026-05-28,1.852,2
2024-07-17,1.667,2
2026-08-12,1.657,2
2024-08-10,1.551,1
