target_date,measured_u10_ms,measured_beaufort
2024-12-22,15.931,7
2024-12-07,15.040,7
2025-01-06,14.133,7
2025-04-16,13.863,6
2025-01-01,13.475,6
2025-09-03,12.352,6
2025-08-29,11.472,6
2024-06-15,11.453,6
2025-09-13,11.388,6
2025-10-28,11.281,6
2025-11-02,11.249,6
2024-11-27,11.243,6
2025-11-12,10.954,6
2025-11-27,10.750,5
2024-12-02,10.702,5
2025-05-06,10.656,5
2025-12-12,10.604,5
2025-07-20,10.581,5
2026-06-05,10.409,5
2024-09-18,10.316,5
2026-05-11,10.230,5
2026-03-02,10.132,5
2026-01-16,10.065,5
2026-04-21,9.946,5
2025-12-27,9.932,5
2024-10-03,9.907,5
2026-02-15,9.900,5
2026-01-21,9.811,5
2025-04-06,9.738,5
2024-07-05,9.692,5
2024-08-09,9.652,5
2025-12-02,9.602,5
2025-12-07,9.580,5
2024-10-08,9.454,5
2025-02-20,9.427,5
2025-01-26,9.312,5
2024-11-17,9.160,5
2025-03-17,9.124,5
2026-02-05,9.066,5
2025-12-22,9.053,5
2026-01-31,8.899,5
2025-11-17,8.875,5
2025-09-08,8.789,5
2025-09-18,8.730,5
2026-02-20,8.698,5
2024-09-13,8.549,5
2024-11-22,8.441,5
2025-02-15,8.410,5
2026-04-16,8.364,5
2025-10-03,8.319,5
2025-03-02,8.306,5
2024-07-10,8.251,5
2025-07-15,8.240,5
2025-05-26,8.203,5
2026-03-12,8.141,5
2026-01-11,8.102,5
2024-12-12,8.066,5
2025-10-13,8.051,5
2024-09-28,8.036,5
2025-08-19,7.947,4
2024-11-12,7.894,4
2025-09-23,7.606,4
2025-03-07,7.596,4
2025-10-23,7.578,4
2024-06-20,7.547,4
2026-07-15,7.546,4
2025-06-05,7.543,4
2026-06-10,7.450,4
2026-05-16,7.366,4
2025-05-11,7.331,4
2024-10-13,7.324,4
2026-01-06,7.305,4
2025-04-01,7.193,4
2025-03-22,7.173,4
2026-03-17,7.144,4
2025-07-30,6.986,4
2024-12-17,6.957,4
2026-04-11,6.917,4
2026-02-10,6.862,4
2025-01-31,6.705,4
2026-06-25,6.561,4
2025-10-18,6.530,4
2026-05-31,6.508,4
2025-05-16,6.503,4
2025-01-11,6.418,4
2024-08-29,6.347,4
2026-02-25,6.340,4
2025-06-20,6.248,4
2024-09-23,6.232,4
2025-08-04,6.228,4
2024-10-28,6.115,4
2026-06-15,6.063,4
2026-04-01,6.046,4
2025-02-05,5.956,4
2024-10-18,5.900,4
2026-03-07,5.824,4
2026-07-05,5.702,4
2024-07-25,5.637,4
2025-02-10,5.626,4
2025-11-22,5.543,4
2024-10-23,5.511,4
2025-07-05,5.452,3
2024-11-07,5.438,3
2025-04-11,5.429,3
2024-09-03,5.334,3
2025-06-10,5.277,3
2025-02-25,5.255,3
2025-09-28,5.229,3
2025-04-26,5.189,3
2025-03-12,5.155,3
2024-06-30,5.133,3
2026-07-30,5.067,3
2026-01-01,5.061,3
2025-05-01,5.034,3
2024-11-02,4.848,3
2026-08-04,4.792,3
2024-09-08,4.612,3
2025-06-15,4.602,3
2025-01-21,4.502,3
2024-08-19,4.492,3
2024-08-04,4.368,3
2024-07-15,4.299,3
2026-08-09,4.200,3
2026-07-10,4.132,3
2026-05-06,4.086,3
2026-03-27,4.082,3
2025-08-09,3.862,3
2026-03-22,3.859,3
2024-12-27,3.785,3
2025-11-07,3.714,3
2025-08-24,3.634,3
2025-08-14,3.533,3
2026-01-26,3.519,3
2025-06-25,3.497,3
2026-05-26,3.402,3
2026-07-25,3.402,3
2024-08-24,3.277,2
2026-04-26,3.155,2
2026-05-21,3.112,2
2025-12-17,3.006,2
2024-07-30,2.869,2
2025-07-25,2.817,2
2026-06-30,2.777,2
2024-08-14,2.682,2
2025-06-30,2.650,2
2024-07-20,2.552,2
2026-05-01,2.261,2
2025-05-21,2.258,2
2024-06-25,1.667,2
2025-10-08,1.659,2
2025-03-27,1.517,1
2025-05-31,1.492,1
2025-04-21,1.380,1
2026-08-14,1.280,1
2026-07-20,1.240,1
2026-06-20,1.173,1
2025-01-16,0.669,1
2025-07-10,0.587,1
2026-04-06,0.318,1
